,goal combination,count,pick count
115,"['1 Skulltula from each Adult Dungeon', 'Exactly 20 Deku Sticks']",9,1
116,"['7 Different Unused Keys in Gerudo Training Grounds', 'Both Rusty Switches in Spirit Temple']",9,2
117,"['9 Hearts (no duping)', 'Beat the Fire Temple']",9,3
118,"['2 Skulltulas in Lon Lon Ranch', '3 Swords, Tunics, Boots, and Shields']",9,1
119,"['Both Rusty Switches in Spirit Temple', 'Bronze Gauntlets']",9,2
120,"['All 4 Market area Skulltulas', 'Both Rusty Switches in Spirit Temple']",9,2
121,"['1 Skulltula from each Adult Dungeon', 'Zora Tunic']",9,1
122,"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon']",9,3
123,"['All 5 Skulltulas in Shadow Temple', 'Silver Scale']",9,2
124,"['Both Rusty Switches in Spirit Temple', 'Minuet of Forest']",9,1
125,"['All 3 Elemental Arrows', 'All 5 Skulltulas in Shadow Temple']",9,1
126,"['6 Compasses', 'Open All 6 Gold Rupee Chests']",9,3
127,"['Beat the Spirit Temple', 'Shadow Temple Boss Key']",9,1
128,"['Beat the Spirit Temple', 'Ganons Castle Boss Key']",9,1
129,"['All 3 Elemental Arrows', 'Defeat Volvagia']",9,2
130,"['3 Tunics', '30 Different Skulltulas']",9,1
131,"['Both Rusty Switches in Spirit Temple', 'Giants Knife']",9,1
132,"['Fire Temple Boss Key', 'Open All 6 Gold Rupee Chests']",9,2
133,"['Fire Temple Boss Key', 'Quiver (50)']",9,2
134,"['All 3 Skulltulas in Bottom of the Well', 'Both Rusty Switches in Spirit Temple']",9,1
135,"['30 Different Skulltulas', '6 Compasses']",9,2
136,"['7 Compasses', 'Forest Temple Boss Key']",9,1
137,"['1 Unused Small Key in each Adult Dungeon', '8 Hearts (no duping)']",9,2
138,"['3 Swords, Tunics, Boots, and Shields', 'Exactly 30 Deku Sticks']",9,1
139,"['3 Swords, Tunics, Boots, and Shields', 'Sarias Song']",9,1
140,"['30 Different Skulltulas', 'Fire Temple Boss Key']",9,2
141,"['10 Songs', 'Get to the end of Shadow Trial']",9,1
142,"['3 Swords, Tunics, Boots, and Shields', 'Defeat Meg (purple Poe)']",9,1
143,"['3 Swords, Tunics, Boots, and Shields', '5 Zora area HPs']",9,1
144,"['30 Different Skulltulas', 'Shadow Temple Boss Key']",9,2
145,"['All 8 Death Mountain area Skulltulas', 'Both Rusty Switches in Spirit Temple']",8,1
146,"['30 Different Skulltulas', 'Megaton Hammer']",8,1
147,"['9 Songs', 'Map & Compass in Bottom of the Well']",8,3
148,"['10 Songs', 'Green Gauntlets']",8,2
149,"['All 5 Skulltulas in Shadow Temple', 'Open All 6 Gold Rupee Chests']",8,1
150,"['9 Hearts (no duping)', 'Defeat Volvagia']",8,2
151,"['30 Different Skulltulas', '8 Songs']",8,1
152,"['30 Different Skulltulas', 'All 5 Skulltulas in Shadow Temple']",8,1
153,"['30 Different Skulltulas', 'Silver Gauntlets']",8,2
154,"['1 Skulltula from each Adult Dungeon', '3 Boots']",8,2
155,"['8 Hearts (no duping)', 'All 3 Skulltulas in Bottom of the Well']",8,2
156,"['Beat the Spirit Temple', 'Both HPs in Death Mountain Crater']",8,1
157,"['30 Different Skulltulas', 'Beat the Deku Tree']",8,1
158,"['10 Songs', 'Quiver (50)']",8,2
159,"['Minuet of Forest', 'Open All 6 Gold Rupee Chests']",8,1
160,"['1 Skulltula from each Adult Dungeon', 'Obtain all 8 Small Keys in Fire Temple']",8,1
161,"['30 Different Skulltulas', 'Fairy Slingshot']",8,1
162,"['1 Skulltula from each Adult Dungeon', '5 Zora area HPs']",8,1
163,"['Defeat Twinrova', 'Fire Medallion']",8,1
164,"['1 Skulltula from each Adult Dungeon', 'Free all 9 Gorons in Fire Temple']",8,3
165,"['10 Songs', 'Lon Lon Ranch HP']",8,1
166,"['Lon Lon Ranch HP', 'Open All 6 Gold Rupee Chests']",8,2
167,"['Green Gauntlets', 'Map & Compass in Bottom of the Well']",8,1
168,"['All 3 Elemental Arrows', 'Beat the Deku Tree']",8,1
169,"['All 5 Lake Hylia Skulltulas', 'Open 3 Gold Rupee Chests']",8,1
170,"['5 Magic Beans', 'All 5 Lake Hylia Skulltulas']",8,1
171,"['5 Hearts', 'Clear 10 Silver Rupee Rooms']",8,1
172,"['Clear 10 Silver Rupee Rooms', 'Two Fairy Spells']",8,3
173,"['9 Songs', 'Both Rusty Switches in Spirit Temple']",8,2
174,"['Both Rusty Switches in Spirit Temple', 'Ganons Castle Boss Key']",8,2
