goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
4 Maps,4,1,0,25.0,0.0,1:52:01,0,0.0
Exactly 30 Deku Sticks,20,5,2,25.0,40.0,1:15:11,2,40.0
Saria's Song,20,5,0,25.0,0.0,1:24:55,0,0.0
4 Unused Keys in Forest Temple,8,2,2,25.0,100.0,1:14:23,2,100.0
All 4 Wasteland/ Colossus area Skulltulas,12,3,1,25.0,33.3,1:56:20,0,0.0
Double Magic,8,2,0,25.0,0.0,1:26:33,0,0.0
Spirit Temple Boss Key,12,3,1,25.0,33.3,1:34:38,0,0.0
All 4 Skulltulas in Jabu-Jabu,8,2,1,25.0,50.0,1:25:33,0,0.0
Exactly 20 Deku Sticks,12,3,1,25.0,33.3,1:33:54,0,0.0
Fire Arrows,4,1,1,25.0,100.0,1:41:35,0,0.0
1 Unused Small Key in each Adult Dungeon,17,4,2,23.5,50.0,1:42:33,0,0.0
All 5 Skulltulas in Water Temple,13,3,2,23.1,66.7,1:25:37,1,33.3
Beat the Deku Tree,13,3,2,23.1,66.7,1:30:13,0,0.0
5 Magic Beans,13,3,2,23.1,66.7,1:27:51,1,33.3
Water Medallion,9,2,2,22.2,100.0,1:15:45,1,50.0
All 4 Adult Skulltulas in Zora's Domain Area,9,2,0,22.2,0.0,1:27:00,0,0.0
9 Hearts (no duping),32,7,5,21.9,71.4,1:42:06,1,14.3
Map & Compass in Forest Temple,14,3,2,21.4,66.7,1:37:13,0,0.0
All 8 Death Mountain area Skulltulas,14,3,1,21.4,33.3,1:21:27,0,0.0
3 Tunics,14,3,2,21.4,66.7,1:25:56,0,0.0
Minuet of Forest,19,4,2,21.1,50.0,1:11:35,2,50.0
Get to the end of Fire Trial,5,1,0,20.0,0.0,1:21:47,0,0.0
All 3 Skulltulas in Bottom of the Well,20,4,2,20.0,50.0,1:18:41,2,50.0
Map & Compass in Jabu-Jabu,5,1,0,20.0,0.0,1:09:51,1,100.0
Defeat both Flare Dancers,5,1,0,20.0,0.0,1:20:15,0,0.0
Map & Compass in Ice Cavern,5,1,0,20.0,0.0,2:11:32,0,0.0
Blue Fire,5,1,1,20.0,100.0,1:13:21,1,100.0
Bullet Bag (40),5,1,0,20.0,0.0,1:44:37,0,0.0
Defeat Dark Link,5,1,0,20.0,0.0,2:16:05,0,0.0
Beat Jabu-Jabu's Belly,10,2,1,20.0,50.0,1:43:14,0,0.0
Get to the end of Forest Trial,10,2,1,20.0,50.0,1:23:55,0,0.0
All 4 Market area Skulltulas,21,4,1,19.0,25.0,1:20:26,0,0.0
All 5 Lake Hylia Skulltulas,21,4,4,19.0,100.0,1:11:04,3,75.0
Din's Fire,27,5,1,18.5,20.0,1:36:48,0,0.0
Defeat Amy (Green Poe),11,2,1,18.2,50.0,1:25:37,0,0.0
7 Magic Beans,12,2,1,16.7,50.0,1:48:32,0,0.0
500 Rupees,6,1,0,16.7,0.0,1:20:17,0,0.0
All 4 Gerudo Valley area Skulltulas,6,1,1,16.7,100.0,1:08:39,1,100.0
Plant bean in Death Mountain Crater,6,1,1,16.7,100.0,1:15:55,0,0.0
37th Heart Piece (Child Fortress),6,1,1,16.7,100.0,1:30:59,0,0.0
Beat the Shadow Temple,6,1,1,16.7,100.0,1:50:25,0,0.0
All 5 Skulltulas in Forest Temple,7,1,0,14.3,0.0,1:37:56,0,0.0
Bronze Gauntlets,14,2,1,14.3,50.0,1:12:39,2,100.0
3 Swords & 3 Shields,15,2,2,13.3,100.0,1:21:15,0,0.0
